"name","dateTicks","variable","value"
"Boston College",1,"lowerLevelPrice",5
"Boston College",636453168690571904,"lowerLevelPrice",5
"Boston College",636453168690577920,"lowerLevelPrice",5
"Boston College",636683246158333312,"lowerLevelPrice",5
"Boston College",636705060384800000,"lowerLevelPrice",5
"Boston College",636707772012733312,"lowerLevelPrice",5
"Boston College",1,"upperLevelPrice",3
"Boston College",636453168690571904,"upperLevelPrice",3
"Boston College",636453168690577920,"upperLevelPrice",3
"Boston College",636683246158333312,"upperLevelPrice",3
"Boston College",636705060384800000,"upperLevelPrice",2.4
"Boston College",636707772012733312,"upperLevelPrice",3
"Clemson",1,"lowerLevelPrice",150
"Clemson",636453168691062144,"lowerLevelPrice",150
"Clemson",636453168691062272,"lowerLevelPrice",150
"Clemson",636510450000111744,"lowerLevelPrice",175
"Clemson",636510459086487936,"lowerLevelPrice",200
"Clemson",636510536472321664,"lowerLevelPrice",200
"Clemson",636510807965521024,"lowerLevelPrice",225
"Clemson",636512593828896000,"lowerLevelPrice",225
"Clemson",636512593828896000,"lowerLevelPrice",250
"Clemson",636538018918687360,"lowerLevelPrice",250
"Clemson",636538018918687488,"lowerLevelPrice",299
"Clemson",636565488674012416,"lowerLevelPrice",299
"Clemson",636565488674012544,"lowerLevelPrice",325
"Clemson",636565489072192256,"lowerLevelPrice",325
"Clemson",636565489072192256,"lowerLevelPrice",335
"Clemson",636633643648087808,"lowerLevelPrice",335
"Clemson",636633643648087808,"lowerLevelPrice",390
"Clemson",636635605413900032,"lowerLevelPrice",415
"Clemson",636635607317366656,"lowerLevelPrice",415
"Clemson",636683246158333312,"lowerLevelPrice",436
"Clemson",636691902538700032,"lowerLevelPrice",425
"Clemson",636691902542300032,"lowerLevelPrice",425
"Clemson",636698768175966720,"lowerLevelPrice",425
"Clemson",636698768269400064,"lowerLevelPrice",476
"Clemson",636705060384800000,"lowerLevelPrice",476
"Clemson",636706664706566656,"lowerLevelPrice",476
"Clemson",636706665874833280,"lowerLevelPrice",542
"Clemson",636707772012733312,"lowerLevelPrice",542
"Clemson",636710100151500032,"lowerLevelPrice",542
"Clemson",636710100245866624,"lowerLevelPrice",605
"Clemson",636716826558899968,"lowerLevelPrice",625
"Clemson",636726433169933312,"lowerLevelPrice",625
"Clemson",1,"upperLevelPrice",125
"Clemson",636453168691062144,"upperLevelPrice",125
"Clemson",636453168691062272,"upperLevelPrice",125
"Clemson",636510450000111744,"upperLevelPrice",125
"Clemson",636510459086487936,"upperLevelPrice",125
"Clemson",636510536472321664,"upperLevelPrice",150
"Clemson",636510807965521024,"upperLevelPrice",150
"Clemson",636512593828896000,"upperLevelPrice",175
"Clemson",636512593828896000,"upperLevelPrice",175
"Clemson",636538018918687360,"upperLevelPrice",199
"Clemson",636538018918687488,"upperLevelPrice",199
"Clemson",636565488674012416,"upperLevelPrice",245
"Clemson",636565488674012544,"upperLevelPrice",245
"Clemson",636565489072192256,"upperLevelPrice",260
"Clemson",636565489072192256,"upperLevelPrice",260
"Clemson",636633643648087808,"upperLevelPrice",300
"Clemson",636633643648087808,"upperLevelPrice",300
"Clemson",636635605413900032,"upperLevelPrice",300
"Clemson",636635607317366656,"upperLevelPrice",300
"Clemson",636683246158333312,"upperLevelPrice",300
"Clemson",636691902538700032,"upperLevelPrice",300
"Clemson",636691902542300032,"upperLevelPrice",300
"Clemson",636698768175966720,"upperLevelPrice",325
"Clemson",636698768269400064,"upperLevelPrice",325
"Clemson",636705060384800000,"upperLevelPrice",260
"Clemson",636706664706566656,"upperLevelPrice",300
"Clemson",636706665874833280,"upperLevelPrice",300
"Clemson",636707772012733312,"upperLevelPrice",375
"Clemson",636710100151500032,"upperLevelPrice",400
"Clemson",636710100245866624,"upperLevelPrice",400
"Clemson",636716826558899968,"upperLevelPrice",400
"Clemson",636726433169933312,"upperLevelPrice",450
"Duke",1,"lowerLevelPrice",5
"Duke",636453168691569152,"lowerLevelPrice",5
"Duke",636453168691569280,"lowerLevelPrice",5
"Duke",636683246158333312,"lowerLevelPrice",5
"Duke",636705060384800000,"lowerLevelPrice",5
"Duke",636707772012733312,"lowerLevelPrice",5
"Duke",1,"upperLevelPrice",3
"Duke",636453168691569152,"upperLevelPrice",3
"Duke",636453168691569280,"upperLevelPrice",3
"Duke",636683246158333312,"upperLevelPrice",3
"Duke",636705060384800000,"upperLevelPrice",2.4
"Duke",636707772012733312,"upperLevelPrice",3
"Florida State",1,"lowerLevelPrice",60
"Florida State",636453168692071168,"lowerLevelPrice",60
"Florida State",636453168692071168,"lowerLevelPrice",60
"Florida State",636635607947666688,"lowerLevelPrice",75
"Florida State",636635607993133312,"lowerLevelPrice",75
"Florida State",636683246158333312,"lowerLevelPrice",73
"Florida State",636691917956499968,"lowerLevelPrice",65
"Florida State",636691918035266688,"lowerLevelPrice",65
"Florida State",636705060384800000,"lowerLevelPrice",65
"Florida State",636707772012733312,"lowerLevelPrice",65
"Florida State",1,"upperLevelPrice",40
"Florida State",636453168692071168,"upperLevelPrice",40
"Florida State",636453168692071168,"upperLevelPrice",40
"Florida State",636635607947666688,"upperLevelPrice",40
"Florida State",636635607993133312,"upperLevelPrice",50
"Florida State",636683246158333312,"upperLevelPrice",50
"Florida State",636691917956499968,"upperLevelPrice",50
"Florida State",636691918035266688,"upperLevelPrice",40
"Florida State",636705060384800000,"upperLevelPrice",32
"Florida State",636707772012733312,"upperLevelPrice",40
"Georgia Tech",1,"lowerLevelPrice",35
"Georgia Tech",636453168692573312,"lowerLevelPrice",35
"Georgia Tech",636453168692573312,"lowerLevelPrice",35
"Georgia Tech",636683246158333312,"lowerLevelPrice",29
"Georgia Tech",636705060384800000,"lowerLevelPrice",29
"Georgia Tech",636707772012733312,"lowerLevelPrice",29
"Georgia Tech",1,"upperLevelPrice",20
"Georgia Tech",636453168692573312,"upperLevelPrice",20
"Georgia Tech",636453168692573312,"upperLevelPrice",20
"Georgia Tech",636683246158333312,"upperLevelPrice",20
"Georgia Tech",636705060384800000,"upperLevelPrice",16
"Georgia Tech",636707772012733312,"upperLevelPrice",20
"Louisville",1,"lowerLevelPrice",12
"Louisville",636453168693077376,"lowerLevelPrice",12
"Louisville",636453168693077504,"lowerLevelPrice",12
"Louisville",636683246158333312,"lowerLevelPrice",12
"Louisville",636705060384800000,"lowerLevelPrice",12
"Louisville",636707772012733312,"lowerLevelPrice",12
"Louisville",1,"upperLevelPrice",8
"Louisville",636453168693077376,"upperLevelPrice",8
"Louisville",636453168693077504,"upperLevelPrice",8
"Louisville",636683246158333312,"upperLevelPrice",8
"Louisville",636705060384800000,"upperLevelPrice",6.4
"Louisville",636707772012733312,"upperLevelPrice",8
"Miami, FL",1,"lowerLevelPrice",95
"Miami, FL",636453168693609728,"lowerLevelPrice",95
"Miami, FL",636453168693609984,"lowerLevelPrice",95
"Miami, FL",636512595172032000,"lowerLevelPrice",95
"Miami, FL",636512595172032128,"lowerLevelPrice",75
"Miami, FL",636683246158333312,"lowerLevelPrice",73
"Miami, FL",636705060384800000,"lowerLevelPrice",73
"Miami, FL",636707772012733312,"lowerLevelPrice",73
"Miami, FL",636726431241033344,"lowerLevelPrice",80
"Miami, FL",6.36726431324e+17,"lowerLevelPrice",80
"Miami, FL",1,"upperLevelPrice",75
"Miami, FL",636453168693609728,"upperLevelPrice",75
"Miami, FL",636453168693609984,"upperLevelPrice",75
"Miami, FL",636512595172032000,"upperLevelPrice",50
"Miami, FL",636512595172032128,"upperLevelPrice",50
"Miami, FL",636683246158333312,"upperLevelPrice",50
"Miami, FL",636705060384800000,"upperLevelPrice",40
"Miami, FL",636707772012733312,"upperLevelPrice",50
"Miami, FL",636726431241033344,"upperLevelPrice",50
"Miami, FL",6.36726431324e+17,"upperLevelPrice",55
"N.C. State",1,"lowerLevelPrice",20
"N.C. State",636453168694119680,"lowerLevelPrice",20
"N.C. State",636453168694119936,"lowerLevelPrice",20
"N.C. State",636512979236644608,"lowerLevelPrice",12
"N.C. State",636512979236644736,"lowerLevelPrice",12
"N.C. State",636683246158333312,"lowerLevelPrice",12
"N.C. State",636705060384800000,"lowerLevelPrice",12
"N.C. State",636707772012733312,"lowerLevelPrice",12
"N.C. State",1,"upperLevelPrice",15
"N.C. State",636453168694119680,"upperLevelPrice",15
"N.C. State",636453168694119936,"upperLevelPrice",15
"N.C. State",636512979236644608,"upperLevelPrice",15
"N.C. State",636512979236644736,"upperLevelPrice",8
"N.C. State",636683246158333312,"upperLevelPrice",8
"N.C. State",636705060384800000,"upperLevelPrice",6.4
"N.C. State",636707772012733312,"upperLevelPrice",8
"North Carolina",1,"lowerLevelPrice",5
"North Carolina",636453168694690688,"lowerLevelPrice",5
"North Carolina",636453168694690816,"lowerLevelPrice",5
"North Carolina",636683246158333312,"lowerLevelPrice",5
"North Carolina",636705060384800000,"lowerLevelPrice",5
"North Carolina",636707772012733312,"lowerLevelPrice",5
"North Carolina",1,"upperLevelPrice",3
